INFO:root:Ingest Issues at [2015-10-26T16:30:56.409799+08:00], issue no[151026063]
INFO:root:Ingest Issues at [2015-10-26T16:31:27.336826+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:31:58.013938+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:32:31.334852+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:33:02.013155+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:33:32.761702+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:34:03.682956+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:34:34.460976+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:35:05.659153+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:35:36.592632+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:36:07.256302+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:36:40.091947+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:37:10.916826+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:37:42.212626+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:38:12.846349+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:38:43.906925+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:39:14.566932+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:39:45.461145+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:40:16.529852+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:40:47.724450+08:00], issue no[151026064]
INFO:root:Ingest Issues at [2015-10-26T16:41:19.210497+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:41:50.138081+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:42:21.184689+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:42:52.425851+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:43:24.791978+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:43:56.051657+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:44:27.833968+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:44:58.481207+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:45:29.262692+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:45:59.963516+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:46:30.779990+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:47:01.481175+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:47:32.216864+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:48:05.586451+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:48:36.375496+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:49:07.226017+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:49:37.986590+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:50:08.916040+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:50:39.719285+08:00], issue no[151026065]
INFO:root:Ingest Issues at [2015-10-26T16:51:13.060833+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:51:43.698605+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:52:16.642195+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:52:47.377708+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:53:18.186597+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:53:48.918776+08:00], not updated yet!
